Thread count: 1 236818000 ns, mode: 1
Thread count: 1 220849400 ns, mode: 1
Thread count: 1 326348300 ns, mode: 1
Thread count: 1 261806800 ns, mode: 1
Thread count: 1 220806200 ns, mode: 1
Thread count: 1 285464200 ns, mode: 1
Thread count: 1 220568100 ns, mode: 1
Thread count: 1 216598000 ns, mode: 1
Thread count: 1 473508700 ns, mode: 0
Thread count: 1 344400 ns, mode: 1
Thread count: 1 6620100 ns, mode: 1
Thread count: 1 211755900 ns, mode: 1
Thread count: 1 270112000 ns, mode: 1
Thread count: 1 187558600 ns, mode: 0
Thread count: 4 244981100 ns, mode: 0
Thread count: 4 335560800 ns, mode: 0
Thread count: 1 2177010900 ns, mode: 1
Thread count: 1 5905246300 ns, mode: 1
Thread count: 16 708392000 ns, mode: 1
Thread count: 16 751027400 ns, mode: 1
Thread count: 16 386248000 ns, mode: 1
Thread count: 1 50952800 ns, mode: 1
